dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,city,state,country
2022-08-10 00:00:00,23.51,22.99,1021,41,9.51,0.0,0,10000,1.54,310,,Distrito Federal,Brasil
2022-08-10 01:00:00,22.51,21.94,1021,43,9.32,0.0,0,10000,1.03,0,,Distrito Federal,Brasil
2022-08-10 02:00:00,21.51,21.0,1021,49,10.36,0.0,0,10000,2.06,270,,Distrito Federal,Brasil
2022-08-10 03:00:00,20.51,19.97,1021,52,10.33,0.0,0,10000,1.03,0,,Distrito Federal,Brasil
2022-08-10 04:00:00,19.51,18.98,1021,56,10.51,0.0,0,10000,0.51,0,,Distrito Federal,Brasil
2022-08-10 05:00:00,19.51,18.98,1021,56,10.51,0.0,0,10000,2.06,250,,Distrito Federal,Brasil
2022-08-10 06:00:00,20.51,20.08,1020,56,11.44,0.0,0,10000,3.6,250,,Distrito Federal,Brasil
2022-08-10 07:00:00,18.51,18.19,1021,68,12.5,0.0,40,10000,5.14,240,,Distrito Federal,Brasil
2022-08-10 08:00:00,17.51,16.33,1021,39,3.42,0.0,40,10000,4.63,240,,Distrito Federal,Brasil
2022-08-10 09:00:00,17.51,17.46,1021,82,14.41,0.0,75,10000,4.63,230,,Distrito Federal,Brasil
2022-08-10 10:00:00,17.51,17.33,1022,77,13.44,0.19,40,10000,3.6,240,,Distrito Federal,Brasil
2022-08-10 11:00:00,18.51,18.43,1022,77,14.41,1.15,20,10000,3.6,230,,Distrito Federal,Brasil
2022-08-10 12:00:00,19.51,19.19,1022,64,12.53,3.27,20,10000,3.6,220,,Distrito Federal,Brasil
2022-08-10 13:00:00,22.51,22.2,1022,53,12.46,5.94,20,10000,4.12,240,,Distrito Federal,Brasil
2022-08-10 14:00:00,24.51,24.17,1022,44,11.47,8.42,40,10000,3.6,250,,Distrito Federal,Brasil
2022-08-10 15:00:00,24.51,24.17,1021,44,11.47,9.63,40,10000,3.6,280,,Distrito Federal,Brasil
2022-08-10 16:00:00,25.51,25.19,1020,41,11.3,9.05,40,10000,2.06,0,,Distrito Federal,Brasil
2022-08-10 17:00:00,27.51,27.03,1019,36,11.12,7.0,40,10000,3.6,280,,Distrito Federal,Brasil
2022-08-10 18:00:00,26.51,26.51,1018,39,11.44,4.24,75,10000,5.14,270,,Distrito Federal,Brasil
2022-08-10 19:00:00,25.51,25.19,1018,41,11.3,1.03,75,10000,4.63,280,,Distrito Federal,Brasil
2022-08-10 20:00:00,23.51,23.3,1018,53,13.39,0.25,40,10000,5.14,240,,Distrito Federal,Brasil
2022-08-10 21:00:00,22.51,22.28,1019,56,13.3,0.0,20,10000,3.6,250,,Distrito Federal,Brasil
2022-08-10 22:00:00,20.51,20.29,1019,64,13.47,0.0,0,10000,2.57,210,,Distrito Federal,Brasil
2022-08-10 23:00:00,19.51,19.29,1020,68,13.45,0.0,0,10000,2.57,160,,Distrito Federal,Brasil
