dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,city,state,country
2022-08-10 00:00:00,27.38,29.93,1008,74,22.33,0.0,0,10000,2.57,50,القاهرة,القاهرة,مصر
2022-08-10 01:00:00,27.38,30.37,1007,78,23.2,0.0,0,10000,2.06,60,القاهرة,القاهرة,مصر
2022-08-10 02:00:00,26.38,26.38,1008,78,22.23,0.0,0,10000,3.09,340,القاهرة,القاهرة,مصر
2022-08-10 03:00:00,26.38,26.38,1008,78,22.23,0.0,0,10000,3.09,360,القاهرة,القاهرة,مصر
2022-08-10 04:00:00,26.38,26.38,1008,78,22.23,0.18,0,10000,3.6,10,القاهرة,القاهرة,مصر
2022-08-10 05:00:00,26.38,26.38,1009,78,22.23,0.89,40,10000,2.57,360,القاهرة,القاهرة,مصر
2022-08-10 06:00:00,27.38,29.93,1009,74,22.33,2.45,40,10000,2.06,10,القاهرة,القاهرة,مصر
2022-08-10 07:00:00,28.38,30.15,1009,61,20.14,4.74,40,10000,2.57,20,القاهرة,القاهرة,مصر
2022-08-10 08:00:00,30.38,31.8,1009,51,19.11,7.17,0,10000,3.09,60,القاهرة,القاهرة,مصر
2022-08-10 09:00:00,31.38,32.27,1008,45,18.02,9.01,0,10000,3.09,360,القاهرة,القاهرة,مصر
2022-08-10 10:00:00,32.38,33.44,1008,43,18.2,9.79,0,10000,3.6,310,القاهرة,القاهرة,مصر
2022-08-10 11:00:00,33.38,34.39,1008,40,17.94,8.97,0,10000,3.6,330,القاهرة,القاهرة,مصر
2022-08-10 12:00:00,33.38,33.34,1007,35,15.84,6.98,20,10000,4.12,360,القاهرة,القاهرة,مصر
2022-08-10 13:00:00,34.38,35.57,1007,38,18.02,4.48,20,10000,3.6,330,القاهرة,القاهرة,مصر
2022-08-10 14:00:00,34.38,35.57,1007,38,18.02,2.24,20,10000,4.63,350,القاهرة,القاهرة,مصر
2022-08-10 15:00:00,33.38,34.39,1007,40,17.94,0.76,20,10000,3.09,350,القاهرة,القاهرة,مصر
2022-08-10 16:00:00,33.38,34.39,1007,40,17.94,0.13,20,10000,4.12,360,القاهرة,القاهرة,مصر
2022-08-10 17:00:00,32.38,33.87,1007,45,18.93,0.0,20,10000,3.6,360,القاهرة,القاهرة,مصر
2022-08-10 18:00:00,32.38,33.87,1007,45,18.93,0.0,20,10000,4.12,20,القاهرة,القاهرة,مصر
2022-08-10 19:00:00,31.38,33.48,1008,51,20.03,0.0,0,10000,4.12,30,القاهرة,القاهرة,مصر
2022-08-10 20:00:00,30.38,33.15,1008,58,21.19,0.0,0,10000,4.63,40,القاهرة,القاهرة,مصر
2022-08-10 21:00:00,29.38,33.58,1008,70,23.34,0.0,0,10000,4.12,50,القاهرة,القاهرة,مصر
2022-08-10 22:00:00,29.38,33.58,1007,70,23.34,0.0,0,10000,3.09,70,القاهرة,القاهرة,مصر
2022-08-10 23:00:00,28.38,32.05,1007,74,23.3,0.0,0,10000,1.54,50,القاهرة,القاهرة,مصر
