dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,city,state,country
2022-08-10 00:00:00,20.46,19.66,1018,42,7.13,0.0,5,10000,4.98,106,,Bahia,Brasil
2022-08-10 01:00:00,19.79,19.0,1019,45,7.53,0.0,10,10000,4.6,109,,Bahia,Brasil
2022-08-10 02:00:00,19.16,18.38,1018,48,7.9,0.0,18,10000,4.03,117,,Bahia,Brasil
2022-08-10 03:00:00,18.27,17.48,1018,51,7.97,0.0,20,10000,4.6,119,,Bahia,Brasil
2022-08-10 04:00:00,17.29,16.67,1018,61,9.71,0.0,16,10000,4.63,124,,Bahia,Brasil
2022-08-10 05:00:00,16.49,16.05,1018,71,11.22,0.0,14,10000,4.84,123,,Bahia,Brasil
2022-08-10 06:00:00,15.86,15.51,1018,77,11.84,0.0,0,10000,4.67,124,,Bahia,Brasil
2022-08-10 07:00:00,15.2,14.92,1018,82,12.15,0.0,0,10000,4.29,125,,Bahia,Brasil
2022-08-10 08:00:00,14.65,14.42,1019,86,12.34,0.0,1,10000,3.81,129,,Bahia,Brasil
2022-08-10 09:00:00,14.2,14.0,1019,89,12.41,0.0,1,10000,3.42,130,,Bahia,Brasil
2022-08-10 10:00:00,15.69,15.46,1020,82,12.63,0.51,1,10000,3.58,124,,Bahia,Brasil
2022-08-10 11:00:00,18.88,18.52,1020,65,12.16,2.05,1,10000,4.34,111,,Bahia,Brasil
2022-08-10 12:00:00,21.85,21.42,1020,51,11.27,4.64,0,10000,4.15,107,,Bahia,Brasil
2022-08-10 13:00:00,24.38,23.87,1019,38,9.16,7.55,0,10000,3.46,98,,Bahia,Brasil
2022-08-10 14:00:00,26.57,26.57,1018,29,7.1,9.71,0,10000,2.62,89,,Bahia,Brasil
2022-08-10 15:00:00,28.38,27.09,1017,23,5.28,10.27,0,10000,1.85,79,,Bahia,Brasil
2022-08-10 16:00:00,29.65,27.93,1015,19,3.6,9.14,1,10000,1.25,71,,Bahia,Brasil
2022-08-10 17:00:00,30.33,28.43,1014,17,2.58,6.51,1,10000,0.91,59,,Bahia,Brasil
2022-08-10 18:00:00,29.66,27.92,1013,18,2.84,3.55,0,10000,1.33,74,,Bahia,Brasil
2022-08-10 19:00:00,29.08,27.48,1013,18,2.37,1.31,0,10000,1.5,83,,Bahia,Brasil
2022-08-10 20:00:00,28.01,26.73,1014,19,2.26,0.23,0,10000,1.63,93,,Bahia,Brasil
2022-08-10 21:00:00,24.81,24.0,1014,25,3.47,0.0,0,10000,2.38,70,,Bahia,Brasil
2022-08-10 22:00:00,23.56,22.7,1015,28,4.01,0.0,0,10000,2.93,62,,Bahia,Brasil
2022-08-10 23:00:00,22.52,21.66,1016,32,5.02,0.0,0,10000,3.07,66,,Bahia,Brasil
