dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,city,state,country
2022-08-10 00:00:00,22.63,22.31,1022,52,12.28,0.0,0,10000,5.66,30,,Île-de-France,France
2022-08-10 01:00:00,21.87,21.55,1022,55,12.43,0.0,0,10000,6.17,30,,Île-de-France,France
2022-08-10 02:00:00,21.11,20.76,1022,57,12.27,0.0,0,10000,5.14,40,,Île-de-France,France
2022-08-10 03:00:00,20.44,20.08,1022,59,12.17,0.0,0,10000,4.12,30,,Île-de-France,France
2022-08-10 04:00:00,19.56,19.19,1022,62,12.09,0.0,0,10000,4.63,30,,Île-de-France,France
2022-08-10 05:00:00,18.25,17.88,1023,67,12.03,0.0,0,10000,3.09,360,,Île-de-France,France
2022-08-10 06:00:00,19.87,19.58,1022,64,12.87,0.35,0,10000,3.09,20,,Île-de-France,France
2022-08-10 07:00:00,21.7,21.41,1022,57,12.82,1.04,0,10000,3.6,30,,Île-de-France,France
2022-08-10 08:00:00,23.62,23.34,1022,50,12.6,2.22,0,10000,3.6,30,,Île-de-France,France
2022-08-10 09:00:00,26.04,26.04,1023,43,12.5,3.74,0,10000,3.6,40,,Île-de-France,France
2022-08-10 10:00:00,28.14,27.65,1022,38,12.49,5.22,0,10000,5.14,40,,Île-de-France,France
2022-08-10 11:00:00,29.92,28.83,1021,32,11.45,6.29,0,10000,5.14,60,,Île-de-France,France
2022-08-10 12:00:00,31.16,29.72,1021,28,10.51,6.6,0,10000,6.17,70,,Île-de-France,France
2022-08-10 13:00:00,31.71,30.11,1020,26,9.87,6.09,0,10000,6.69,60,,Île-de-France,France
2022-08-10 14:00:00,32.25,30.67,1020,26,10.32,4.86,0,10000,6.69,60,,Île-de-France,France
2022-08-10 15:00:00,32.55,30.89,1019,25,9.99,3.31,0,10000,6.69,50,,Île-de-France,France
2022-08-10 16:00:00,32.36,30.79,1019,26,10.42,1.87,0,10000,6.69,60,,Île-de-France,France
2022-08-10 17:00:00,31.87,30.36,1018,27,10.57,0.8,0,10000,6.17,90,,Île-de-France,France
2022-08-10 18:00:00,30.82,29.38,1018,28,10.22,0.23,0,10000,6.17,90,,Île-de-France,France
2022-08-10 19:00:00,29.02,27.95,1019,31,10.19,0.0,0,10000,5.14,80,,Île-de-France,France
2022-08-10 20:00:00,26.84,26.61,1019,37,10.94,0.0,0,10000,3.09,70,,Île-de-France,France
2022-08-10 21:00:00,25.11,24.72,1019,40,10.57,0.0,0,10000,2.57,50,,Île-de-France,France
2022-08-10 22:00:00,24.16,23.73,1019,42,10.45,0.0,0,10000,3.09,10,,Île-de-France,France
2022-08-10 23:00:00,23.56,23.12,1019,44,10.61,0.0,0,10000,3.09,20,,Île-de-France,France
