dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,city,state,country
2022-08-10 00:00:00,25.61,26.26,1015,78,21.49,0.34,75,9656,3.09,130,,Colima,México
2022-08-10 01:00:00,21.61,21.99,1016,83,18.6,0.0,75,9656,9.77,320,,Colima,México
2022-08-10 02:00:00,20.56,21.13,1013,94,19.56,0.0,100,10000,0.58,9,,Colima,México
2022-08-10 03:00:00,20.13,20.68,1014,95,19.3,0.0,100,10000,1.12,17,,Colima,México
2022-08-10 04:00:00,19.71,20.22,1014,95,18.89,0.0,100,10000,1.2,27,,Colima,México
2022-08-10 05:00:00,19.25,19.74,1015,96,18.6,0.0,100,10000,1.05,23,,Colima,México
2022-08-10 06:00:00,18.88,19.3,1015,95,18.06,0.0,68,10000,1.2,16,,Colima,México
2022-08-10 07:00:00,18.53,18.95,1015,96,17.88,0.0,83,10000,1.12,12,,Colima,México
2022-08-10 08:00:00,18.27,18.66,1015,96,17.62,0.0,91,10000,1.12,13,,Colima,México
2022-08-10 09:00:00,18.41,18.81,1015,96,17.76,0.0,94,10000,1.19,15,,Colima,México
2022-08-10 10:00:00,18.55,18.94,1015,95,17.73,0.0,95,10000,1.27,14,,Colima,México
2022-08-10 11:00:00,18.64,19.07,1015,96,17.99,0.0,96,10000,1.25,16,,Colima,México
2022-08-10 12:00:00,20.61,21.18,1018,94,19.61,0.0,40,10000,0.0,0,,Colima,México
2022-08-10 13:00:00,20.61,21.02,1018,88,18.55,0.04,40,10000,0.0,0,,Colima,México
2022-08-10 14:00:00,21.61,22.12,1019,88,19.54,0.32,75,10000,0.0,0,,Colima,México
2022-08-10 15:00:00,23.61,24.19,1019,83,20.55,1.0,75,10000,0.0,0,,Colima,México
2022-08-10 16:00:00,24.61,25.16,1019,78,20.52,2.23,100,10000,0.0,0,,Colima,México
2022-08-10 17:00:00,25.61,26.26,1019,78,21.49,3.47,75,10000,0.0,0,,Colima,México
2022-08-10 18:00:00,25.61,26.26,1019,78,21.49,4.41,75,9656,3.09,200,,Colima,México
2022-08-10 19:00:00,24.61,25.29,1018,83,21.53,11.31,75,9656,3.09,220,,Colima,México
2022-08-10 20:00:00,25.61,26.26,1017,78,21.49,10.32,75,9656,5.14,200,,Colima,México
2022-08-10 21:00:00,25.61,26.39,1017,83,22.51,7.93,75,9656,5.14,240,,Colima,México
2022-08-10 22:00:00,24.61,25.29,1016,83,21.53,4.01,75,9656,5.14,240,,Colima,México
2022-08-10 23:00:00,23.61,24.32,1016,88,21.51,1.88,100,9656,5.14,250,,Colima,México
