dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,city,state,country
2022-08-10 00:00:00,29.34,34.11,1019,73,23.99,0.0,75,10000,5.14,170,Jacksonville,Florida,United States
2022-08-10 01:00:00,28.45,32.89,1019,78,24.24,0.0,75,10000,3.09,130,Jacksonville,Florida,United States
2022-08-10 02:00:00,27.81,31.92,1021,82,24.45,0.0,75,10000,4.12,130,Jacksonville,Florida,United States
2022-08-10 03:00:00,27.67,31.7,1021,83,24.52,0.0,75,10000,5.14,160,Jacksonville,Florida,United States
2022-08-10 04:00:00,27.29,30.73,1022,83,24.15,0.0,75,10000,4.12,170,Jacksonville,Florida,United States
2022-08-10 05:00:00,26.91,30.0,1022,85,24.17,0.0,75,10000,3.6,170,Jacksonville,Florida,United States
2022-08-10 06:00:00,26.28,26.28,1021,86,23.75,0.0,75,10000,3.09,180,Jacksonville,Florida,United States
2022-08-10 07:00:00,25.75,26.65,1021,87,23.42,0.0,40,10000,0.0,0,Jacksonville,Florida,United States
2022-08-10 08:00:00,25.78,26.71,1021,88,23.64,0.0,75,10000,2.57,180,Jacksonville,Florida,United States
2022-08-10 09:00:00,25.53,26.54,1021,92,24.13,0.0,75,10000,4.63,170,Jacksonville,Florida,United States
2022-08-10 10:00:00,25.65,26.67,1021,92,24.25,0.0,75,10000,3.09,180,Jacksonville,Florida,United States
2022-08-10 11:00:00,25.66,26.68,1022,92,24.26,0.0,75,6437,3.6,170,Jacksonville,Florida,United States
2022-08-10 12:00:00,26.79,30.23,1022,91,25.2,0.48,75,8047,2.57,160,Jacksonville,Florida,United States
2022-08-10 13:00:00,28.5,34.15,1022,84,25.53,1.51,75,8047,4.12,150,Jacksonville,Florida,United States
2022-08-10 14:00:00,30.29,36.83,1022,74,25.13,3.41,75,9656,4.12,180,Jacksonville,Florida,United States
2022-08-10 15:00:00,31.83,38.83,1022,68,25.19,5.82,75,10000,2.57,190,Jacksonville,Florida,United States
2022-08-10 16:00:00,32.84,39.83,1022,62,24.59,8.71,75,10000,3.6,180,Jacksonville,Florida,United States
2022-08-10 17:00:00,33.03,39.96,1021,61,24.5,10.1,75,10000,4.12,200,Jacksonville,Florida,United States
2022-08-10 18:00:00,34.38,41.38,1021,56,24.33,10.04,75,10000,4.63,210,Jacksonville,Florida,United States
2022-08-10 19:00:00,34.62,41.62,1020,55,24.25,8.64,75,10000,4.63,100,Jacksonville,Florida,United States
2022-08-10 20:00:00,34.76,41.76,1019,56,24.68,6.2,75,10000,5.66,120,Jacksonville,Florida,United States
2022-08-10 21:00:00,33.71,40.71,1019,61,25.14,3.58,75,10000,5.66,140,Jacksonville,Florida,United States
2022-08-10 22:00:00,32.35,39.35,1019,65,24.92,1.36,75,10000,4.63,140,Jacksonville,Florida,United States
2022-08-10 23:00:00,31.07,37.79,1019,70,24.95,0.37,75,10000,5.66,130,Jacksonville,Florida,United States
